,Date&Time,Nucléaire-Global,Charbon-Global,Gaz-Global,Fioul-Global,Pointe-Global,Fioul + Pointe-Global,Hydraulique-Global,Eolien-Global,Solde-Global,Autres-Global,Pompage-Global,Solaire-Global,Fioul-TAC,Fioul-COG,Fioul-AUT,Gaz-TAC,Gaz-COG,Gaz-CCG,Gaz-AUT,Hydraulique-FEE,Hydraulique-LAC,Hydraulique-STT,Autres-DEC,Autres-BMA,Autres-BGA
0,2018-01-01 00:00:00,42054,30,2389,251,ND,ND,7986,10624,-2518,1119,-1054,0,10,200,36,0,2081,223,86,5964,1631,391,572,271,277
1,2018-01-01 00:15:00,39804,33,2461,330,ND,ND,8377,10323,-983,1136,-1239,0,21,257,47,4,2141,222,95,5982,2094,302,587,282,268
2,2018-01-01 00:30:00,37553,35,2533,408,ND,ND,8768,10022,553,1152,-1423,0,32,314,57,8,2201,221,103,5999,2557,212,602,293,258
3,2018-01-01 00:45:00,36634,35,2535,408,ND,ND,8623,10021,572,1151,-1411,0,32,314,56,8,2203,221,102,5960,2460,203,602,291,258
4,2018-01-01 01:00:00,35714,35,2537,407,ND,ND,8478,10020,591,1151,-1398,0,31,314,56,8,2206,221,102,5921,2363,194,603,290,258
5,2018-01-01 01:15:00,35443,34,2539,406,ND,ND,8395,10002,1065,1146,-1483,0,31,314,56,8,2208,220,102,5909,2286,200,599,289,257
6,2018-01-01 01:30:00,35171,34,2541,404,ND,ND,8313,9985,1539,1140,-1567,0,31,314,56,8,2211,220,102,5897,2209,207,596,289,256
7,2018-01-01 01:45:00,35037,34,2546,404,ND,ND,8242,9942,1539,1141,-1657,0,31,314,56,8,2217,218,102,5878,2167,197,598,288,256
8,2018-01-01 02:00:00,34903,34,2552,404,ND,ND,8171,9900,1540,1142,-1747,0,31,314,56,8,2224,217,102,5859,2125,187,600,287,255
9,2018-01-01 02:15:00,34908,34,2548,405,ND,ND,7765,9854,1643,1139,-1634,0,31,314,56,8,2219,217,103,5778,1894,93,597,287,255
10,2018-01-01 02:30:00,34912,34,2544,405,ND,ND,7359,9809,1747,1137,-1522,0,32,314,56,8,2214,218,104,5696,1663,0,594,287,255
11,2018-01-01 02:45:00,34507,35,2546,405,ND,ND,7359,9747,1373,1135,-1704,0,32,314,56,8,2215,217,105,5631,1580,148,594,286,254
12,2018-01-01 03:00:00,34101,35,2547,405,ND,ND,7359,9685,998,1133,-1886,0,32,314,56,8,2217,217,105,5566,1496,296,595,285,253
13,2018-01-01 03:15:00,34263,35,2544,405,ND,ND,7372,9630,94,1132,-1674,0,31,314,56,8,2213,219,105,5568,1543,260,592,287,253
14,2018-01-01 03:30:00,34426,35,2542,405,ND,ND,7385,9574,-809,1130,-1461,0,31,314,56,8,2208,221,104,5570,1591,224,589,288,254
15,2018-01-01 03:45:00,34377,35,2538,405,ND,ND,6907,9503,-876,1130,-1462,0,31,314,56,8,2205,221,104,5557,1238,112,590,288,252
16,2018-01-01 04:00:00,34328,34,2534,405,ND,ND,6430,9432,-943,1131,-1463,0,32,315,56,8,2201,221,104,5544,886,0,591,289,250
17,2018-01-01 04:15:00,34504,35,2537,405,ND,ND,6335,9346,-1089,1130,-1739,0,32,315,56,8,2203,221,105,5440,895,0,591,289,250
18,2018-01-01 04:30:00,34680,35,2540,405,ND,ND,6240,9259,-1236,1129,-2015,0,32,314,56,8,2204,221,106,5336,905,0,590,290,249
19,2018-01-01 04:45:00,34461,35,2541,405,ND,ND,6074,9252,-1195,1125,-2024,0,32,314,56,8,2206,220,106,5328,747,0,588,289,249
20,2018-01-01 05:00:00,34243,35,2541,405,ND,ND,5908,9244,-1155,1121,-2034,0,32,314,56,8,2208,218,106,5319,589,0,585,288,249
21,2018-01-01 05:15:00,34324,35,2534,405,ND,ND,5886,9295,-847,1120,-2344,0,32,314,56,8,2200,219,107,5309,577,0,583,289,249
22,2018-01-01 05:30:00,34406,34,2526,405,ND,ND,5863,9346,-539,1119,-2655,0,32,314,57,8,2193,219,107,5300,564,0,580,290,250
23,2018-01-01 05:45:00,34538,34,2524,405,ND,ND,5875,9292,-516,1118,-2806,0,32,314,57,8,2190,219,107,5296,579,0,578,291,250
24,2018-01-01 06:00:00,34671,34,2522,406,ND,ND,5886,9238,-492,1117,-2958,0,32,314,57,8,2188,219,107,5293,594,0,575,291,250
25,2018-01-01 06:15:00,34813,34,2520,405,ND,ND,6072,9255,-589,1119,-2913,0,32,314,57,8,2187,218,107,5319,754,0,576,292,251
26,2018-01-01 06:30:00,34954,34,2518,405,ND,ND,6259,9272,-687,1121,-2869,0,32,313,57,8,2185,217,107,5345,914,0,577,293,251
27,2018-01-01 06:45:00,34856,34,2522,405,ND,ND,6301,9298,-701,1121,-2877,0,32,313,57,8,2189,218,107,5376,925,0,577,292,251
28,2018-01-01 07:00:00,34757,34,2526,405,ND,ND,6342,9323,-714,1121,-2885,0,32,313,57,8,2193,218,106,5407,935,0,578,292,251
29,2018-01-01 07:15:00,34790,34,2522,406,ND,ND,6405,9366,-815,1121,-2862,0,32,314,57,8,2189,219,106,5446,959,0,579,291,251
30,2018-01-01 07:30:00,34823,34,2518,406,ND,ND,6468,9408,-915,1121,-2839,0,32,314,57,8,2185,219,107,5485,983,0,581,290,250
31,2018-01-01 07:45:00,34920,34,2530,406,ND,ND,6514,9341,-942,1120,-2837,0,32,314,57,8,2197,218,107,5491,1024,0,580,290,250
32,2018-01-01 08:00:00,35017,35,2543,405,ND,ND,6561,9274,-969,1120,-2835,0,32,314,57,8,2209,218,107,5497,1065,0,579,291,250
33,2018-01-01 08:15:00,35282,35,2556,407,ND,ND,6768,9226,-1464,1117,-2958,2,32,314,58,8,2221,219,107,5501,1268,0,578,290,249
34,2018-01-01 08:30:00,35546,34,2568,408,ND,ND,6976,9179,-1959,1113,-3082,5,32,314,60,8,2233,220,107,5505,1471,0,577,289,248
35,2018-01-01 08:45:00,35584,34,2564,409,ND,ND,7030,9135,-2175,1116,-2991,62,32,315,60,8,2229,219,107,5523,1507,0,577,290,248
36,2018-01-01 09:00:00,35623,34,2559,411,ND,ND,7084,9091,-2392,1119,-2901,119,32,315,60,8,2225,219,107,5541,1543,0,578,291,249
37,2018-01-01 09:15:00,35750,34,2558,408,ND,ND,7262,8987,-2409,1116,-2903,279,32,315,58,8,2223,220,107,5646,1458,158,574,293,249
38,2018-01-01 09:30:00,35876,34,2556,406,ND,ND,7441,8883,-2427,1114,-2905,438,32,315,56,8,2221,221,107,5752,1373,316,570,295,249
39,2018-01-01 09:45:00,36105,35,2556,405,ND,ND,7317,8819,-2249,1109,-2904,604,32,315,56,8,2219,222,107,5821,1337,158,569,290,249
40,2018-01-01 10:00:00,36334,35,2555,405,ND,ND,7192,8755,-2072,1104,-2902,771,32,315,56,9,2217,223,107,5891,1302,0,569,286,249
41,2018-01-01 10:15:00,36355,35,2555,405,ND,ND,6970,8678,-1364,1106,-2986,944,32,315,56,8,2218,222,107,5911,1060,0,570,287,249
42,2018-01-01 10:30:00,36376,35,2556,406,ND,ND,6749,8602,-656,1109,-3069,1116,32,315,57,8,2219,222,107,5930,819,0,571,288,250
43,2018-01-01 10:45:00,36443,35,2559,406,ND,ND,6731,8631,-351,1109,-3068,1255,32,315,57,8,2223,221,107,5918,813,0,572,287,250
44,2018-01-01 11:00:00,36510,35,2563,406,ND,ND,6714,8660,-46,1109,-3067,1394,33,315,56,8,2228,220,107,5906,808,0,572,287,250
45,2018-01-01 11:15:00,36503,36,2552,406,ND,ND,6707,8681,672,1111,-3185,1461,32,315,56,8,2217,220,106,5849,859,0,572,288,251
46,2018-01-01 11:30:00,36497,36,2541,405,ND,ND,6701,8702,1390,1113,-3302,1527,32,315,56,8,2206,220,106,5792,909,0,573,289,252
